district_no,district,district_key,year,category,popup_name,brand,description,location,date,admission,goods,tags,highlight,research_insight
01,Seongsu-dong,seongsu,2025,Art · Exhibition,Hightech Seoul Event at S Factory,"S Factory, Seongsu","Tech-art crossover exhibition at Seongsu's S Factory. Digital art installations, interactive tech experiences, and a curated selection of tech-adjacent lifestyle brands.","S Factory, Seongsu","Oct 2 – Nov 8, 2025",Paid,Tech art merchandise,Tech Art | Exhibition | Interactive | Digital,Standard,S Factory's industrial scale allows for tech-art installations that smaller venues cannot accommodate — positioning Seongsu as a destination for digital culture.
01,Seongsu-dong,seongsu,2025,Beauty,iSOi 'Bulgaria Rose Trip' Pop-up,iSOi,Immersive Bulgaria rose concept space at iSOi's Seongsu flagship — a benchmark for brand-owned pop-up strategy with no rental costs.,"iSOi Flagship, Seongsu",Jan 2025,Free,Product samples,Skincare | Immersive | Flagship | Benchmark,✨ Benchmark,"By owning the pop-up through their flagship, iSOi eliminated rental costs while generating enormous SNS buzz."
01,Seongsu-dong,seongsu,2025,Beauty,NUDAKE × Jennie Pop-up,NUDAKE × Jennie (BLACKPINK),"BLACKPINK's Jennie collaborates with experimental Seoul dessert brand NUDAKE for a pastry and beauty lifestyle pop-up at Haus Dosan, Apgujeong.","Haus Dosan, Apgujeong-ro 46-gil 50","Nov 28, 2024 – Jan 3, 2025",Free,Limited dessert + lifestyle items,BLACKPINK | Jennie | Dessert | Lifestyle | Collab,Standard,"NUDAKE's collab with Jennie bridges the worlds of K-pop fandom, luxury dessert culture, and lifestyle retail — a template for how celebrity IP can elevate an F&B brand."
01,Seongsu-dong,seongsu,2025,F&B,"Adidas Café ""3 STRIPES Seoul""",Adidas × Café Concept,"Fashion meets coffee — a viral social media sensation before it even opened. Three-stripe drinks, limited merch, and brand installations drew massive queues.",Seongsu-dong,Jan 2025 (~Jan 18),Free,Limited drinks & merch,Collab | Café | Sports | Viral | SNS,🔥 Viral,Pre-opening social buzz turned this into a must-visit — a case study in anticipation-building without paid advertising.
01,Seongsu-dong,seongsu,2025,Fashion,Hoka Seongsu Pop-up,HOKA,"Running & trail shoe brand's pop-up with fit experience stations, limited-color drops, and stamp-tour giveaways.","East Yeonmujang-gil, Seongsu",Jan 2025,Free,Limited colorway + stamp goods,Running | Experiential | Showroom | Sneakers,Standard,"Hoka's shift from performance to lifestyle is embodied in Seongsu — targeting trend-aware consumers, not just runners."
01,Seongsu-dong,seongsu,2025,Fashion,Musinsa Empty × Lacoste × Sanrio,Musinsa × Lacoste × Sanrio,"Triple collab pop-up in Seongsu combining Musinsa's streetwear curation, Lacoste's preppy heritage, and Sanrio's character universe into one space.","Seongsu, Musinsa Empty","Sep 29 – Oct 10, 2025",Free,Triple collab limited goods,Musinsa | Lacoste | Sanrio | Triple Collab,Standard,The Musinsa Empty format of triple collabs shows how multi-brand pop-ups can create cultural moments bigger than any single brand could alone.
01,Seongsu-dong,seongsu,2025,Fashion,New Balance × Korean Webtoon Artist Pop-up,New Balance × Webtoon,New Balance teams up with a Korean webtoon artist and marathon runner for a limited Seongsu pop-up celebrating running culture and local creativity.,Seongsu-dong,May – Jun 2026,Free,Collab sneakers + webtoon art prints,New Balance | Webtoon | Running | Collab | Art,Standard,New Balance's sustained investment in running culture pop-ups in Seongsu mirrors the district's own transformation — both brand and neighbourhood have repositioned from functional to aspirational.
01,Seongsu-dong,seongsu,2025,IP · Character,TBH × Hello Kitty Department Store,tbh × Sanrio,"Hello Kitty 50th anniversary collab with co-designed limited apparel, accessories, and collectibles.",Seongsu-dong,Jan 2025,Free,Limited collab goods,Sanrio | Hello Kitty | Collab | Fashion | 50th,Standard,The Hello Kitty 50th anniversary proved the staying power of legacy IP over trend-driven collabs.
02,Hannam-dong,hannam,2025,Art · Exhibition,Hannam Emerging Artist Gallery Pop-up,Hannam Independent Gallery Network,Rotating platform for emerging Korean artists with works for sale and brand-collab art objects. Buyers receive limited-edition art books.,Hannam Gallery District,"Seasonal, ongoing",Free viewing,Original artworks + art books,Art | Emerging Artist | Sales | Curation,Standard,Hannam's gallery infrastructure allows emerging artists to access affluent collectors without a permanent space.
02,Hannam-dong,hannam,2025,Art · Exhibition,Wunderkammer Gallery Pop-up,"Independent Curators, Hannam",Rotating art object and curiosity cabinet-style gallery pop-up in Hannam. Emerging Korean artists present collectible small-format works alongside collaborative brand objects.,Hannam-dong Gallery District,Monthly rotation,Free,Collectible art objects,Gallery | Art Objects | Collectible | Emerging | Rotating,Standard,The 'wunderkammer' (wonder cabinet) format — curating surprising juxtapositions of objects — is perfectly suited to Hannam's culture of discovery shopping.
02,Hannam-dong,hannam,2025,Beauty,European Niche Perfume — Korea Debut,Hannam Concept Beauty Edit,First Korean pop-up for a coveted European niche perfume house. Personal fragrance consultations and limited discovery sets.,Hannam Concept Store,Seasonal,Free,Discovery sets + consultation,Niche Perfume | Consultation | Debut | European,Standard,Hannam's international-facing demographic is the ideal test market for European niche brands entering Korea.
02,Hannam-dong,hannam,2025,Beauty,Tamburins × BLACKPINK Jennie Pop-up,Tamburins × Jennie,Luxury Korean beauty and lifestyle brand Tamburins collaborates with Jennie of BLACKPINK. Object-art meets skincare in a gallery-style Hannam space.,Hannam-dong,2025,Free,Limited collab beauty objects,Tamburins | Jennie | BLACKPINK | Art Beauty | Gallery,Standard,Tamburins's object-art approach to beauty retail — treating products as collectible sculptures — has inspired a wave of 'beauty as art' pop-ups across Hannam.
02,Hannam-dong,hannam,2025,F&B,Blue Bottle Coffee Seasonal Pop-up,Blue Bottle Coffee Korea,Blue Bottle Coffee's limited seasonal pop-up in Hannam featuring single-origin Korea-only blends and specialty equipment collaborations.,Hannam-dong,Seasonal,Free,Korea-exclusive blends + drinkware,Coffee | Blue Bottle | Specialty | Seasonal | Hannam,Standard,"Blue Bottle's minimalist aesthetic resonates with Hannam's design-literate consumer base — their pop-ups feel like concept cafés, not marketing events."
02,Hannam-dong,hannam,2025,Fashion,"Adidas × ABC Mart — ""My Nth New Pair""",ABC Mart × Adidas,Season-launch pop-up combining ABC Mart's retail reach with Adidas' newest sneaker lineup and on-site shoe personalisation.,Hannam-dong,Jan 2025,Free,Limited sneaker lineup,Sneakers | Collab | Customise | Personalise,Standard,Personalisation services dramatically increase time-in-store and purchase likelihood.
02,Hannam-dong,hannam,2025,Lifestyle,Luxury Interior & Home Design Pop-up,Hannam Flagship Brands,Premium interior and home brand pop-up offering product experience and consultation services.,Hannam-dong,Seasonal,Free,Consultation + display items,Interior | Premium | Lifestyle | Consultation,Standard,Home lifestyle brands use pop-ups to bridge the gap between e-commerce imagery and real-world texture.
03,Hongdae,hongdae,2025,Beauty,Olive Young Hongdae Town — Beauty Event,CJ Olive Young,"Multi-brand beauty event at Olive Young's Hongdae flagship. Makeup trials, new product demos, and SNS verification giveaways.",Olive Young Hongdae Town,"Oct 2 – Oct 12, 2025",Free,Sample giveaways,K-Beauty | Multi-brand | Trial | SNS | Flagship,✨ Notable,Olive Young Hongdae's tourist-heavy foot traffic makes it one of the most cost-efficient locations for beauty brands.
03,Hongdae,hongdae,2025,F&B,Starbucks Reserve 'Korea Heritage' Pop-up,Starbucks Korea,"Starbucks Reserve's Korea-exclusive seasonal pop-up in Hongdae celebrating Korean traditional flavours — yuzu, sikhye, and hojicha — in premium RTD and merchandise format.","Hongdae, Starbucks Reserve",Seasonal 2025,Free,Korea-exclusive blends + tumblers,Starbucks | Coffee | Korea Heritage | Premium | Seasonal,Standard,"Starbucks Reserve Korea's seasonal pop-up format has mastered the art of creating product scarcity — limited tumblers sell out within hours, generating organic viral content."
03,Hongdae,hongdae,2025,Fashion,Covernat × Thisisneverthat Joint Pop-up,Covernat × Thisisneverthat,Two of Korea's most respected streetwear brands — Covernat and Thisisneverthat — join forces for a Hongdae flagship collab pop-up featuring co-designed capsule pieces.,Hongdae Flagship Area,2025,Free,Co-designed capsule collection,Streetwear | Covernat | Thisisneverthat | Capsule | Collab,Standard,"When two credible Korean streetwear brands collab, the cultural weight is additive — both fanbases converge, creating a combined audience neither brand could reach alone."
03,Hongdae,hongdae,2025,IP · Character,Chainsaw Man Official Pop-up,AK Plaza Hongdae × MAPPA,"Large-scale official anime pop-up with character goods, acrylic standees, apparel, and Korean-market collectibles. Long queues from day one.",AK Plaza Hongdae Branch,"Sep 26 – Dec 31, 2025",Free,Anime character goods,Anime | IP | Goods | MAPPA | Long-run,🔥 HOT,A 3-month run in a department store signals anime IP has become a consistent driver of retail footfall.
04,Gangnam · The Hyundai,gangnam,2025,Art · Exhibition,Seoul International Café Show,COEX,"Korea's largest café & beverage expo with new F&B brand pop-ups, master barista demos, and specialty coffee showcases.","COEX, Gangnam",Nov 2025,Paid admission,Coffee products + limited brews,Café | Exhibition | Industry | Coffee | COEX,Standard,The Café Show functions as an annual cultural moment for Seoul's café-obsessed MZ generation.
04,Gangnam · The Hyundai,gangnam,2025,Beauty,Sulwhasoo 'Han Radiance' Flagship Pop-up,Sulwhasoo (Amorepacific),Korea's premier luxury herbal beauty brand Sulwhasoo transforms its Apgujeong flagship into an immersive hanok-inspired pop-up celebrating Korean botanical heritage.,"Apgujeong, Gangnam",2025,Free,Heritage beauty sets + limited ginseng line,Luxury Beauty | Sulwhasoo | Herbal | Hanok | Heritage,Standard,Sulwhasoo's hanok-inspired pop-up design serves both domestic and international visitors — it positions K-beauty within Korea's broader cultural heritage narrative.
04,Gangnam · The Hyundai,gangnam,2025,Fashion,Ader Error Seongsu × Gangnam Crossover,Ader Error,"Experimental Korean fashion brand Ader Error's rotating pop-up series spanning Seongsu and Garosu-gil. Asymmetric cuts, oversized silhouettes, and spatial design that challenges retail conventions.","Garosu-gil, Gangnam / Seongsu-dong",Ongoing seasonal,Free,Seasonal capsule pieces,Ader Error | Experimental Fashion | Capsule | Garosu-gil,✨ Notable,Ader Error defines what happens when fashion brand and spatial design merge — every pop-up is also an architecture statement.
04,Gangnam · The Hyundai,gangnam,2025,IP · Character,NewJeans × McDonald's Seoul Pop-up,NewJeans × McDonald's Korea,K-pop supergroup NewJeans collabs with McDonald's Korea for a limited Gangnam pop-up café experience featuring character-themed meals and merchandise.,Gangnam area,2025,Free,Character meals + limited goods,K-Pop | NewJeans | McDonald's | Food | Collab,Standard,The NewJeans × McDonald's Korea collab demonstrated that fast food brands can achieve luxury pop-up prestige through the right K-pop partnership.
05,Other Areas,others,2025,Art · Exhibition,DDP Emerging Designer Pop-up Market,Dongdaemun Design Plaza,"Emerging designer market at the iconic DDP building with fashion, product design, and crafts curated by category.",Dongdaemun Design Plaza (DDP),"1–2× monthly, ongoing",Free,Designer pieces & crafts,Emerging Designers | DDP | Market | Architecture,Standard,The DDP's Zaha Hadid landmark status gives any pop-up hosted there a cultural legitimacy no standard space can provide.
05,Other Areas,others,2025,Art · Exhibition,Coex Artium Cultural Pop-ups,Coex Artium,"Coex Artium's rotating pop-up programme hosts Korean and international artists in the underground mall's gallery space, combining retail with cultural programming.","Coex Artium, Gangnam",Ongoing monthly rotation,Free,Limited art prints + goods,Art | Gallery | Coex | Underground | Rotating,Standard,Coex Artium's underground gallery space creates a captive audience of shoppers who become art viewers — one of Seoul's most effective art-retail hybrid formats.
05,Other Areas,others,2025,F&B,Lotte Jamsil Seasonal Bakery Pop-up,Lotte Department Store Jamsil,Premium seasonal dessert pop-ups at Lotte Jamsil B1 bakery hall with season-limited pastry brands and holiday gift sets.,"Lotte Dept. Store Jamsil, B1F",Seasonal,Free,Seasonal pastries + gift sets,Dessert | Gift Set | Seasonal | Jamsil | Bakery,Standard,"Department store bakery event halls are the most reliable pop-up format in Korea — low risk, high impulse purchase rate."
05,Other Areas,others,2025,F&B,French Louvre Baguette Pop-up,Paris Baguette × Louvre,Paris Baguette's collab with the Louvre Museum brings art-themed pastries and Louvre-licenced merchandise to a Korean bakery pop-up experience.,Seoul (multiple locations),2025,Free,Art-themed pastries + Louvre merch,Bakery | Louvre | Art | Collab | Paris Baguette,Standard,The Louvre × Paris Baguette collab is a masterclass in cultural licensing — it positions a mass-market Korean bakery brand within the prestige of French cultural heritage.
05,Other Areas,others,2025,Fashion,SYSTEM FW25 Pop-up — Lotte World Mall,SYSTEM,Korean contemporary fashion brand SYSTEM's FW25 collection launch pop-up with pre-order sessions and early access.,"Lotte World Mall, Jamsil","~ Nov 6, 2025",Free,FW25 early access + pre-order,Contemporary Fashion | FW25 | Pre-order | Korean Brand,Standard,SYSTEM's use of Lotte World Mall expands its reach beyond Seongsu's fashion bubble to mainstream MZ consumers.
01,Seongsu-dong,seongsu,2026,Art · Exhibition,Where's Wally? Exhibition,Martin Handford × Seoul Laitium,The iconic search-and-find character Wally comes to Seoul Forest's The Seoul Laitium. Interactive large-scale installations and limited Korean-market Wally merchandise.,"Seoul Forest, The Seoul Laitium","Dec 22, 2025 – Apr 5, 2026",Paid admission,Limited Wally merch,Exhibition | Where's Wally | Interactive | Family,Standard,"Classic character IPs like Wally generate cross-generational appeal — parents bring children, creating unusually long average visit times and higher per-group spending."
01,Seongsu-dong,seongsu,2026,Beauty,Olive Young × Pokémon Pikachu Picnic,Olive Young N Seongsu,K-Beauty meets Pokémon — 1F Trend Fountain becomes a Pikachu & Minibu picnic with photo spots and themed beauty bundles.,"Olive Young N Seongsu, 1F","May 1 – May 31, 2026",Free,Collab beauty bundles,K-Beauty | Pokémon | Collab | Seasonal,Standard,Shows how a beauty retailer can use IP licensing to create destination-worthy experiences.
01,Seongsu-dong,seongsu,2026,Beauty,YSL Beauty Seongsu Pop-up,Yves Saint Laurent Beauty,"Luxury French beauty pop-up with new collection launch, makeup experience zones, and exclusive YSL goods only available here.",Seongsu-dong,"May 9 – May 24, 2026",Free,Exclusive YSL location goods,Luxury Beauty | Makeup | YSL | Exclusive,✨ Notable,YSL entering Seongsu rather than Apgujeong signals the district has matured into a luxury brand destination.
01,Seongsu-dong,seongsu,2026,Beauty,La Roche-Posay — UV Stadium,La Roche-Posay,"Sports-themed sunscreen pop-up turning skincare education into a stadium experience. UV zones, SPF trials, photo installations.",Seongsu-dong,"May 15 – May 25, 2026",Free,SPF sample kits,Sunscreen | Skincare | Experiential | Sports,Standard,Turning skincare into a stadium concept shows brands competing for attention through narrative.
01,Seongsu-dong,seongsu,2026,Beauty,Torriden Seongsu Pop-up,Torriden,Science-based K-beauty brand Torriden opens a dedicated Seongsu pop-up showcasing its hyaluronic acid and barrier-care lineup with skin analysis stations.,Seongsu-dong,Dec 2025 – Jan 2026,Free,Skin analysis + product samples,K-Beauty | Skincare | Hyaluronic Acid | Science,Standard,Torriden's data-driven skin analysis stations elevate the pop-up from a sales space into an educational experience — a growing trend in K-beauty retail.
01,Seongsu-dong,seongsu,2026,Beauty,Hince Beauty Pop-up,Hince,Korean minimalist beauty brand Hince hosts a Seongsu pop-up featuring its signature matte lipsticks and new skincare line with curated pastel interiors.,Seongsu-dong,Nov 2025 – Jan 2026,Free,Limited-edition colour sets,K-Beauty | Makeup | Minimalist | Hince,Standard,Hince's aesthetic-first approach to retail design makes its pop-ups photographable destinations — the brand understands that the space itself is the marketing.
01,Seongsu-dong,seongsu,2026,Beauty,Lavoir Seongsu Pop-up,Lavoir,French-inspired Korean fragrance and body care brand Lavoir opens a Seongsu pop-up with its signature laundry-aesthetic concept store.,Seongsu-dong,Nov 2025 – Jan 2026,Free,Fragrance + body care sets,Fragrance | Body Care | French-inspired | Concept Store,Standard,Lavoir's laundry-room aesthetic concept is immediately Instagram-worthy — proving that distinctive spatial design outperforms product-only marketing.
01,Seongsu-dong,seongsu,2026,F&B,Dango-ne Haengnidan Seongsu Pop-up,Dango-ne,Viral handmade Japanese dango brand from Haengnidan-gil brings its signature chewy skewers to Seongsu for a two-month limited run.,Seongsu-dong,May – Jun 2026,Free,Handmade dango skewers,F&B | Japanese | Dango | Viral | Street Food,Standard,Dango-ne's cult status in Haengnidan makes this Seongsu pop-up a destination for fans who missed the original — a perfect F&B cross-district expansion model.
01,Seongsu-dong,seongsu,2026,Fashion,Lacoste 'Polo Factory' Pop-up,Lacoste,"French heritage brand celebrates 90+ years of the polo shirt through an immersive walk-through of construction, fabrics, and sustainability.",Seongsu-dong,"May 21 – Jun 3, 2026",Free,Heritage collection + limited pieces,Heritage | Fashion | Exhibition | Sustainability,Standard,Lacoste chose Seongsu over Gangnam — deliberate repositioning of a legacy brand toward MZ consumers.
01,Seongsu-dong,seongsu,2026,Fashion,Musinsa Megastore Seongsu — Grand Opening,Musinsa,"Grand opening of Musinsa's flagship megastore with multi-brand pop-ups, exclusive drops, and opening celebration events.",Musinsa Megastore Seongsu,"Apr 24 – May 3, 2026",Free,Exclusive opening drops,Flagship | Musinsa | Multi-brand | Grand Opening,🏆 Major,Musinsa's permanent megastore formalises Seongsu's evolution from pop-up hub to year-round destination.
01,Seongsu-dong,seongsu,2026,Fashion,Moncler Puppy Summer Exhibition,Moncler,Luxury Italian outerwear brand brings 'Puppy' summer collection in an art-forward exhibition format with seasonal limited pieces.,"Seongsui-ro 16-gil 31, Seongsu","May 1 – May 3, 2026",Free,Limited summer pieces,Luxury | Exhibition | Fashion | Moncler,Standard,Moncler's gallery-style format elevates brand experience — visitors engage as they would a gallery show.
01,Seongsu-dong,seongsu,2026,Fashion,Nice Ghost Club × Cowboy Bebop Pop-up,Nice Ghost Club × Sunrise,"Korean streetwear label Nice Ghost Club teams up with cult anime Cowboy Bebop. Graphic tees, accessories, and limited-run pieces reinterpreting Spike, Faye, and the Bebop crew.",Seongsu-dong,"May 26 – Jun 11, 2026",Free,Exclusive Seongsu-drop pieces,Streetwear | Cowboy Bebop | Anime | Collab | Limited,🔥 HOT,Cowboy Bebop's global cult following combined with Nice Ghost Club's local credibility creates a rare crossover between Korean streetwear and classic anime aesthetics.
01,Seongsu-dong,seongsu,2026,Fashion,Gentle Monster × Disney × F1 Circuit Collection,Gentle Monster,"Eyewear brand Gentle Monster launches an F1-inspired collab with Disney. Limited circuit-edition sunglasses, immersive racing track installation, and exclusive photo moments.",Gentle Monster Seongsu Flagship,Apr – May 2026,Free,Limited F1 circuit sunglasses,Gentle Monster | Disney | F1 | Eyewear | Collab,Standard,Gentle Monster's flagship pop-ups are among Seoul's most architecturally impressive — this collab fuses motorsport culture with Disney's IP in an only-in-Seoul installation.
01,Seongsu-dong,seongsu,2026,IP · Character,Pokémon Ditto Playground,Pokémon Mega Festa 2026,"Enter a pink, squishy world where Ditto has copied everything — slides, plush toys, and décor. Part of Pokémon's 30th Anniversary.","Seongsui-ro 7ga-gil 9, Seongsu","May 1 – Jun 21, 2026",Free,Limited Ditto merch,Pokémon | 30th Anniversary | Free | Photo Zone,🔥 HOT,One of three simultaneous Pokémon events in Seongsu — Pokémon Mega Festa 2026 is unprecedented in scale.
01,Seongsu-dong,seongsu,2026,IP · Character,Pokémon 30th Birthday Party Pop-up,Pokémon Mega Festa × Olive Young N Seongsu,"Birthday-party themed pop-up: cake, ribbon & balloon photo zones, coloring corner, and exclusive Birthday Edition merch.","Olive Young N Seongsu, 1F","May 1 – Jun 21, 2026",Free,Birthday Edition limited goods,Pokémon | Birthday | 30th | Limited Ed.,🏆 Major,Olive Young's collab leverages Pokémon mania to drive flagship traffic — a perfect channel partnership model.
01,Seongsu-dong,seongsu,2026,IP · Character,SEVENTEEN MINITEEN Flagship Pop-up,SEVENTEEN × Pledis Entertainment,"Two-story flagship: Floor 1 is a themed café with ice cream & drinks, Floor 2 is a full character merchandise floor.",Seongsu-dong (2-story),"May 23 – Jun 2, 2026",Free,Character merch + café menu,K-Pop | SEVENTEEN | Café | Flagship,🔥 HOT,Two-floor café + shop format maximises dwell time — a growing blueprint for K-pop pop-ups.
01,Seongsu-dong,seongsu,2026,IP · Character,BLACKPINK 'DEADLINE' Global Pop-up,BLACKPINK × YG Entertainment,"World tour launching in Seoul first. Seoul-exclusive MD, new lightstick, plush, keyrings and keycaps. Continued in 20 cities worldwide.",Musinsa Seongsu + Musinsa Myeongdong,"Feb 28 – Mar 8, 2026 · 11:00–22:00",Free,Seoul-exclusive MD + lightstick,BLACKPINK | K-Pop | Global Tour | Musinsa,🏆 Global,Seoul as global first stop confirms it as the world's most important pop-up market in 2026.
01,Seongsu-dong,seongsu,2026,IP · Character,NCT WISH Official Pop-up Store,SM Entertainment,"Official pop-up for NCT WISH with fan interaction zones, photo booths, and exclusive Seoul-edition merchandise.",Seongsu-dong,"Apr 27 – May 3, 2026",Free,Seoul-edition MD + photocards,K-Pop | NCT | Fan Event | Seoul Exclusive,🔥 HOT,SM chose Seongsu over SM Town Coex — reflecting the commercial appeal of Seongsu's younger foot traffic.
01,Seongsu-dong,seongsu,2026,IP · Character,Toy Story 'House of Toy Story' Pop-up,Pixar × Seongsu,"Pixar's Toy Story recreates a 1970s-80s American home across multiple floors. Photo zones with Woody, Buzz & Jessie, arcade-style games, DIY merch stations, and exclusive collectibles.",Seongsu-dong,"May 23 – Jul 12, 2026",Free,Exclusive collectibles + DIY merch,Pixar | Toy Story | IP | Nostalgia | Photo Zone,🔥 HOT,Toy Story's multi-generational appeal — beloved by both MZ parents and their children — makes it one of the broadest-reach IP pop-ups of 2026.
01,Seongsu-dong,seongsu,2026,IP · Character,(G)I-DLE Exhibition Pop-up,(G)I-DLE × Space S50,"K-pop group (G)I-DLE's exhibition-format pop-up at Space S50 in Seongsu. Fan art installations, exclusive merchandise, and photocard events for NEVERLAND fans.","Space S50, 50 Seongsui-ro, Seongsu","Dec 19, 2025 – Jan 10, 2026",Free,Exhibition merch + photocards,K-Pop | (G)I-DLE | Exhibition | Fan Event,Standard,Exhibition-format K-pop pop-ups are growing in sophistication — (G)I-DLE's art installations blur the line between fan merchandise event and gallery experience.
01,Seongsu-dong,seongsu,2026,Lifestyle,Samsung Galaxy Market Event,Samsung Electronics,Experiential pop-up at T Factory Seongsu — latest Galaxy devices with hands-on trials and immersive tech zones.,"T Factory Seongsu, Yeonmujang 1-gil","Feb 27 – Mar 29, 2026",Free,Device trial + exclusive bundles,Tech | Samsung | Galaxy | Experiential,Standard,Tech brands using Seongsu's creative spaces signals the district's broad cultural credibility beyond fashion and beauty.
02,Hannam-dong,hannam,2026,Beauty,Pesade Hannam Flagship Opening,Pesade,Niche fragrance brand Pesade opens its Hannam flagship with personal scent consultations and exclusive opening-day sets.,Hannam-dong Flagship,2026,Free,Personal scent consultation + sets,Niche Fragrance | Flagship | Opening | Hannam,✨ Notable,"Hannam's gallery culture makes it the natural home for niche fragrance brands seeking affluent, design-literate consumers."
02,Hannam-dong,hannam,2026,Fashion,Gentle Monster Haus Dosan Flagship Experience,Gentle Monster,"Gentle Monster's Haus Dosan flagship in Apgujeong runs rotating immersive installations. Part gallery, part eyewear store — each season brings a completely new spatial concept.","Haus Dosan, Apgujeong-ro, Gangnam","Ongoing, seasonal",Free,Limited-edition eyewear,Gentle Monster | Flagship | Gallery | Eyewear | Immersive,✨ Notable,Gentle Monster set the template for the 'retail as theatre' model that now defines Seoul's best pop-ups — every other brand is catching up to what Gentle Monster pioneered.
02,Hannam-dong,hannam,2026,Lifestyle,Aestura Derma Pop-up,Aestura (Amorepacific),"Amorepacific's derma care brand Aestura opens a Hannam pop-up with personalised skin consultation, barrier repair testing, and a limited slow-living product line.",Hannam-dong,2026,Free,Personalised skin kit,Derma | Skincare | Aestura | Personalised | Amorepacific,Standard,Derma-positioning in a Hannam lifestyle space rather than a pharmacy shifts brand perception from medical to aspirational — a strategic repositioning move.
